Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,arc_length,epsilon,k,nut,p,vtkValidPointMask
0,-2.04303,0.500003,0.247151,2.11779,nan,nan,nan,nan,0,nan,nan,nan,nan,0
1,-2.033,0.500003,0.24714,2.10812,nan,nan,nan,nan,0.0100217,nan,nan,nan,nan,0
2,-2.02298,0.500003,0.247128,2.09846,nan,nan,nan,nan,0.0200434,nan,nan,nan,nan,0
3,-2.01296,0.500003,0.247117,2.0888,nan,nan,nan,nan,0.0300648,nan,nan,nan,nan,0
4,-2.00294,0.500003,0.247106,2.07914,nan,nan,nan,nan,0.0400865,nan,nan,nan,nan,0
5,-1.99292,0.500003,0.247095,2.06949,9.74612,-0.00198393,0.0108271,9.74613,0.0501082,0.699148,0.356472,0.0163639,31.043,1
6,-1.9829,0.500003,0.247084,2.05984,9.74256,-0.0048899,0.0243195,9.74259,0.0601299,0.698527,0.356595,0.0163898,31.0516,1
7,-1.97287,0.500003,0.247073,2.05019,9.739,-0.00779583,0.0378117,9.73907,0.0701515,0.697906,0.356718,0.0164157,31.0603,1
8,-1.96285,0.500003,0.247062,2.04055,9.73543,-0.0107018,0.0513041,9.73557,0.0801732,0.697286,0.356841,0.0164416,31.069,1
9,-1.95283,0.500003,0.247051,2.03091,9.72985,-0.0128357,0.0622594,9.73006,0.0901949,0.696459,0.356814,0.0164581,31.0982,1
10,-1.94281,0.500003,0.247039,2.02127,9.72352,-0.0148571,0.0715605,9.72379,0.100216,0.695964,0.356874,0.0164754,31.1329,1
11,-1.93279,0.500003,0.247028,2.01164,9.71718,-0.0168785,0.0808616,9.71753,0.110238,0.695468,0.356935,0.0164928,31.1676,1
12,-1.92277,0.500003,0.247017,2.00201,9.71084,-0.0189,0.0901627,9.71128,0.12026,0.694972,0.356996,0.0165101,31.2023,1
13,-1.91274,0.500003,0.247006,1.99239,9.70149,-0.0209209,0.100609,9.70203,0.130281,0.694312,0.357008,0.0165265,31.267,1
14,-1.90272,0.500003,0.246995,1.98277,9.69148,-0.022995,0.110179,9.69214,0.140303,0.693984,0.357131,0.0165458,31.3358,1
15,-1.8927,0.500003,0.246984,1.97315,9.68148,-0.0250691,0.11975,9.68225,0.150325,0.693657,0.357255,0.016565,31.4047,1
16,-1.88268,0.500003,0.246973,1.96354,9.67138,-0.0271412,0.129426,9.67228,0.160346,0.693305,0.35737,0.016584,31.4746,1
17,-1.87266,0.500003,0.246962,1.95393,9.6583,-0.0292449,0.140208,9.65936,0.170368,0.692906,0.357477,0.0166032,31.5732,1
18,-1.86264,0.500003,0.24695,1.94432,9.64476,-0.0313945,0.150176,9.64598,0.18039,0.692812,0.357688,0.016625,31.6741,1
19,-1.85261,0.500003,0.246939,1.93472,9.63122,-0.0335442,0.160143,9.63261,0.190411,0.692719,0.357899,0.0166468,31.775,1
20,-1.84259,0.500003,0.246928,1.92513,9.61737,-0.0356891,0.170526,9.61895,0.200433,0.692538,0.358082,0.0166679,31.8793,1
21,-1.83257,0.500003,0.246917,1.91554,9.60066,-0.0379026,0.18157,9.60246,0.210455,0.692525,0.35833,0.0166911,32.0085,1
22,-1.82255,0.500003,0.246906,1.90595,9.58356,-0.0401496,0.192029,9.58556,0.220476,0.69274,0.358657,0.0167164,32.1397,1
23,-1.81253,0.500003,0.246895,1.89637,9.56645,-0.0423966,0.202487,9.56868,0.230498,0.692956,0.358985,0.0167417,32.271,1
24,-1.80251,0.500003,0.246884,1.88679,9.54884,-0.0446395,0.213714,9.55134,0.24052,0.693025,0.359262,0.0167657,32.4078,1
25,-1.79248,0.500003,0.246873,1.87722,9.52826,-0.0469853,0.225097,9.53104,0.250541,0.693502,0.359692,0.016794,32.5684,1
26,-1.78246,0.500003,0.246861,1.86765,9.5074,-0.0493511,0.236133,9.51046,0.260563,0.694121,0.360172,0.0168238,32.7303,1
27,-1.77244,0.500003,0.24685,1.85809,9.48655,-0.0517167,0.24717,9.48991,0.270585,0.694741,0.360652,0.0168536,32.8922,1
28,-1.76242,0.500003,0.246839,1.84853,9.46502,-0.0540823,0.259377,9.46873,0.280606,0.695154,0.36106,0.0168814,33.062,1
29,-1.7524,0.500003,0.246828,1.83897,9.44025,-0.0565832,0.271163,9.44432,0.290628,0.696256,0.361723,0.0169165,33.2552,1
30,-1.74238,0.500003,0.246817,1.82942,9.41541,-0.059089,0.28286,9.41984,0.300649,0.697396,0.3624,0.016952,33.4488,1
31,-1.73235,0.500003,0.246806,1.81988,9.39056,-0.0615949,0.294557,9.39538,0.310671,0.698537,0.363077,0.0169875,33.6423,1
32,-1.72233,0.500003,0.246795,1.81034,9.3647,-0.0641191,0.307689,9.36997,0.320693,0.699505,0.363693,0.0170214,33.8467,1
33,-1.71231,0.500003,0.246784,1.80081,9.3356,-0.0667862,0.320127,9.34133,0.330714,0.701316,0.364622,0.0170642,34.0728,1
