point1;point2;point3;time
4.06;1.91;2.04;204
4.56;1.91;1.62;408
4.41;1.91;1.39;612
3.90;2.03;1.39;816
5.60;1.85;1.35;1020
5.26;1.77;1.15;1224
4.32;1.64;1.03;1428
5.67;1.37;1.03;1632
6.39;1.20;1.21;1837
8.22;1.55;1.11;2041
8.90;1.47;1.93;2245
10.35;1.91;2.12;2449
10.35;1.43;2.61;2653
10.87;1.58;2.15;2857
9.37;1.18;2.06;3061
8.76;1.39;2.15;3265
9.09;1.81;2.06;3469
8.96;1.81;2.10;3673
7.84;2.61;1.83;3877
7.72;3.05;2.23;4081
7.93;3.22;1.87;4285
8.02;3.40;1.99;4489
7.60;3.20;1.98;4694
6.68;3.37;1.98;4898
7.48;3.76;2.30;5102
7.69;3.76;2.30;5306
6.87;3.84;2.34;5510
6.87;3.84;2.76;5714
6.49;3.84;2.44;5918
7.90;4.87;3.42;6122
7.90;4.87;3.06;6326
7.60;4.71;2.76;6531
7.39;5.03;2.87;6735
7.39;4.35;2.99;6939
7.39;4.50;3.11;7143
7.31;4.20;3.48;7347
7.10;4.00;3.17;7552
6.71;3.87;3.17;7756
6.99;4.14;2.30;7960
6.99;3.87;2.25;8164
6.68;3.60;2.06;8368
7.16;4.20;1.63;8572
6.85;4.20;1.97;8776
6.09;4.41;2.19;8980
5.81;4.12;2.39;9184
5.13;3.76;2.19;9389
5.13;3.13;1.92;9593
4.97;2.95;1.87;9797
5.37;2.77;1.70;10001
5.20;2.77;1.36;10205
5.04;2.45;0.89;10409
4.57;2.77;0.97;10613
4.72;2.81;1.08;10817
4.72;2.93;1.49;11021
4.48;2.70;1.38;11225
4.48;2.49;1.68;11429
4.34;2.49;1.56;11633
4.34;2.29;1.48;11837
4.79;2.49;1.41;12041
4.34;2.23;1.41;12246
4.25;2.33;1.23;12450
4.55;2.28;1.37;12654
4.40;2.37;1.44;12858
4.25;2.09;1.47;13062
3.31;1.61;0.95;13266
2.96;1.53;0.90;13470
3.07;1.53;0.79;13674
3.19;1.46;0.84;13878
3.44;1.39;0.92;14083
3.31;1.57;0.98;14287
3.64;1.53;0.87;14491
3.77;1.49;0.82;14695
3.38;1.49;0.82;14899
3.59;1.46;0.98;15104
3.59;1.39;0.89;15308
3.46;1.32;0.52;15512
3.46;0.94;0.34;15716
3.79;1.09;0.34;15920
3.53;1.03;0.43;16124
4.07;1.66;0.89;16328
3.79;1.74;0.84;16532
3.53;1.70;0.74;16736
3.40;1.55;0.69;16941
3.23;1.70;0.84;17145
3.11;1.59;0.95;17349
2.99;1.51;0.95;17553
3.11;1.44;0.89;17757
2.99;1.41;0.87;17961
2.76;1.27;0.77;18165
2.44;1.27;0.70;18369
2.76;1.24;0.84;18573
3.11;1.24;0.82;18777
3.23;1.31;0.63;18981
3.79;1.31;0.72;19185
3.60;1.53;0.70;19389
3.23;1.76;0.70;19593
3.11;1.81;0.85;19798
2.76;1.99;1.14;20002
2.76;1.73;1.34;20206
2.65;1.49;0.94;20410
3.35;1.73;0.39;20614
3.35;1.65;0.28;20818
4.44;1.78;0.53;21022
4.74;1.95;0.61;21226
5.06;2.32;0.78;21430
5.32;2.42;1.05;21635
5.15;2.42;1.24;21839
5.49;2.53;1.42;22043
4.83;2.74;1.57;22247
4.68;2.59;1.42;22451
4.03;2.80;1.49;22656
3.76;2.59;1.46;22860
3.55;2.48;1.77;23064
4.38;2.69;1.69;23268
3.68;2.80;1.53;23472
3.17;1.91;0.97;23676
3.81;1.83;0.81;23880
3.35;1.74;0.81;24084
2.99;1.66;0.72;24288
3.28;1.51;0.92;24493
2.92;1.51;0.81;24697
2.75;1.32;0.87;24901
3.33;1.15;0.97;25105
4.05;0.81;0.67;25309
4.88;1.15;0.64;25513
5.37;1.31;0.52;25717
6.43;1.45;0.60;25921
5.89;1.48;0.81;26125
6.43;1.88;0.71;26329
7.01;2.15;0.86;26533
8.62;3.53;1.31;26737
9.08;3.16;1.76;26941
9.80;3.28;2.06;27145
10.05;2.81;2.15;27350
9.08;2.64;2.35;27554
9.80;2.05;3.18;27758
9.70;2.43;3.18;27962
9.60;2.14;3.30;28166
9.60;2.75;3.89;28370
9.73;3.41;4.32;28574
9.60;3.53;3.97;28778
9.49;3.48;3.19;28982
7.69;2.88;3.31;29187
7.90;3.74;2.91;29391
7.69;3.74;3.51;29595
7.99;3.61;3.14;29799
7.99;3.48;2.58;30003
8.21;3.11;2.58;30208
8.34;3.16;2.37;30412
8.34;3.28;2.08;30616
8.12;3.88;1.74;30820
8.56;4.16;1.61;31024
9.15;4.30;2.32;31228
9.15;4.53;2.22;31432
9.77;4.69;2.22;31636
10.02;5.16;2.56;31840
9.29;5.09;3.01;32045
9.05;5.53;3.57;32249
8.96;5.36;3.70;32453
8.28;5.03;3.77;32657
7.10;5.03;3.51;32861
6.52;4.50;3.21;33065
6.33;4.35;2.97;33269
6.79;4.06;3.21;33473
7.19;3.79;2.97;33677
6.60;3.03;2.33;33881
6.99;3.20;2.23;34085
6.71;3.84;2.14;34289
7.10;4.12;2.47;34493
6.52;3.71;2.69;34697
5.71;3.65;2.79;34902
5.61;3.65;2.69;35106
6.25;3.40;2.53;35310
5.71;3.27;2.53;35514
5.54;3.03;2.33;35718
4.73;2.98;1.78;35922
4.34;2.54;0.79;36126
4.19;2.24;1.13;36330
3.70;2.05;1.26;36534
4.40;1.79;1.01;36739
6.22;2.24;0.90;36943
6.52;2.44;1.29;37147
6.71;1.88;1.58;37351
6.15;2.00;1.43;37555
6.52;2.28;1.22;37760
6.25;1.91;1.82;37964
6.25;2.59;1.43;38168
7.51;2.69;0.87;38372
7.22;3.03;1.16;38576
6.82;3.03;0.81;38780
7.42;2.92;1.00;38984
7.02;2.80;1.25;39188
6.82;2.87;1.18;39392
7.02;2.44;1.02;39597
6.74;2.38;1.15;39801
5.99;2.59;1.28;40005
4.51;2.48;1.21;40209
4.66;2.28;1.08;40413
3.21;1.83;1.02;40617
2.86;1.74;0.76;40821
2.97;1.48;0.76;41025
3.46;1.33;0.71;41229
3.59;0.90;0.50;41433
3.78;0.66;0.43;41637
4.34;0.44;0.36;41841
4.70;0.51;0.54;42045
4.70;0.67;0.60;42249
4.70;0.63;0.74;42454
5.02;0.82;0.56;42658
4.86;0.84;0.74;42862
4.55;1.28;0.74;43066
4.70;1.49;0.89;43270
5.35;1.73;0.76;43474
5.51;1.81;1.08;43678
5.51;2.17;1.42;43882
5.44;1.99;1.12;44086
5.61;2.17;1.25;44291
5.71;2.27;1.46;44495
5.20;2.47;1.61;44699
5.04;2.53;1.66;44903
4.64;2.53;1.91;45107
4.19;1.83;1.58;45312
4.19;1.83;1.70;45516
3.97;1.83;1.40;45720
3.19;1.62;1.13;45924
3.37;1.54;1.26;46128
3.62;1.62;0.95;46332
3.30;1.57;1.19;46536
3.89;1.53;1.29;46740
3.89;1.80;1.03;46944
4.92;2.35;1.61;47149
5.42;2.66;1.77;47353
5.35;2.66;1.64;47557
5.02;2.88;1.73;47761
4.86;2.83;1.89;47965
4.55;2.83;2.32;48169
3.76;2.72;2.03;48373
4.03;2.51;2.03;48577
3.89;2.27;1.74;48781
4.32;1.57;1.43;48985
4.32;1.49;1.58;49189
4.17;1.42;1.22;49393
3.62;1.53;1.43;49597
3.49;1.76;1.16;49801
3.24;1.76;1.22;50006
3.62;1.85;1.18;50210
3.49;1.76;1.39;50414
3.37;1.60;1.29;50618
2.36;1.60;1.09;50822
2.40;1.57;1.22;51026
2.94;1.35;1.22;51230
3.55;1.42;1.16;51434
3.81;1.28;1.03;51638
3.68;1.28;0.92;51843
3.68;1.42;0.72;52047
3.81;1.53;0.54;52251
3.81;1.68;0.63;52455
3.81;1.42;0.63;52659
4.23;1.45;0.67;52864
4.68;1.65;0.64;53068
4.46;1.81;0.84;53272
4.46;2.17;0.78;53476
4.17;2.17;0.78;53680
4.92;2.32;1.12;53884
5.18;2.23;1.32;54088
4.86;2.23;1.50;54292
3.39;1.58;0.92;54496
2.91;1.58;0.76;54701
2.69;1.55;1.03;54905
2.37;1.40;0.95;55109
2.69;1.33;0.65;55313
2.54;1.11;0.70;55517
2.64;1.05;0.68;55721
2.97;0.88;0.51;55925
2.86;0.93;0.55;56129
2.54;1.02;0.55;56333
2.05;1.02;0.49;56537
1.96;1.02;0.42;56741
2.23;1.08;0.53;56945
2.23;1.08;0.46;57149
2.05;1.08;0.60;57353
2.86;1.42;0.83;57558
2.91;1.35;0.88;57762
2.80;1.35;0.93;57966
2.97;1.35;1.11;58170
3.51;1.28;0.97;58374
3.59;1.42;0.88;58578
3.26;1.49;0.78;58782
2.86;1.57;0.64;58986
2.48;1.53;0.73;59190
2.58;1.39;0.78;59395
1.99;1.25;0.60;59599
2.09;0.94;0.73;59803
2.18;0.62;0.68;60007
2.48;0.66;0.68;60211
2.69;0.76;0.52;60416
2.73;0.81;0.52;60620
2.84;0.97;0.52;60824
2.62;1.02;0.52;61028
2.67;1.08;0.52;61232
2.67;1.15;0.48;61436
2.78;1.15;0.60;61640
3.37;1.08;0.61;61844
3.06;1.05;0.68;62048
2.40;0.99;0.66;62253
2.44;0.99;0.66;62457
2.87;1.11;0.66;62661
2.55;1.13;0.66;62865
3.60;1.13;0.70;63069
3.48;0.92;0.70;63273
3.48;1.16;0.72;63477
3.60;1.39;0.72;63681
3.87;1.32;0.79;63885
3.68;1.32;0.79;64089
3.81;1.39;0.76;64293
3.55;1.54;0.76;64497
3.06;1.12;0.45;64701
3.06;1.35;0.52;64905
3.06;1.25;0.64;65110
2.72;1.19;0.74;65314
2.50;1.00;0.72;65518
2.34;1.06;0.47;65722
2.34;0.95;0.43;65926
2.34;0.89;0.40;66130
2.19;0.79;0.34;66334
2.59;0.67;0.40;66538
2.19;0.58;0.40;66742
1.92;0.50;0.40;66947
1.96;0.64;0.29;67151
2.23;0.69;0.28;67355
2.14;0.60;0.23;67559
2.97;0.85;0.19;67763
3.09;0.85;0.19;67968
2.97;0.96;0.29;68172
2.86;0.96;0.38;68376
2.75;1.02;0.27;68580
2.86;1.02;0.28;68784
3.21;1.08;0.33;68988
2.97;1.02;0.39;69192
3.02;0.96;0.39;69396
3.26;1.02;0.23;69600
3.57;0.96;0.34;69805
3.14;1.02;0.37;70009
3.02;1.08;0.41;70213
3.02;0.96;0.44;70417
3.14;1.10;0.37;70621
3.38;1.30;0.44;70825
3.44;1.30;0.47;71029
2.91;1.37;0.44;71233
2.69;1.51;0.65;71437
2.58;1.37;0.55;71641
2.58;1.51;0.70;71845
2.79;1.44;0.61;72049
2.58;1.37;0.55;72253
2.52;1.26;0.67;72457
2.84;1.47;0.63;72662
2.62;1.51;0.67;72866
2.22;1.47;0.67;73070
2.42;1.44;0.60;73274
2.73;1.37;0.52;73478
2.42;1.30;0.56;73682
1.86;1.37;0.56;73886
1.89;1.51;0.60;74090
1.98;1.44;0.65;74294
2.26;1.37;0.63;74499
2.26;1.30;0.59;74703
1.81;0.72;0.45;74907
1.84;0.79;0.37;75111
2.02;0.84;0.37;75315
2.25;0.74;0.47;75520
2.40;0.74;0.51;75724
3.11;0.76;0.42;75928
3.61;0.81;0.49;76132
4.01;0.89;0.49;76336
4.59;0.60;0.42;76540
4.36;0.94;0.32;76744
5.06;1.35;0.19;76948
5.06;1.72;0.21;77152
4.30;2.07;0.29;77357
5.06;2.26;1.00;77561
4.90;2.56;1.24;77765
5.91;3.24;1.50;77969
6.02;3.37;1.77;78173
6.38;3.24;1.90;78377
6.96;3.30;2.27;78581
6.02;3.37;1.99;78785
5.84;3.76;1.85;78989
5.49;4.17;1.57;79193
5.16;3.76;1.90;79397
4.93;3.31;2.37;79601
4.32;3.07;2.08;79805
3.89;2.52;2.17;80009
3.89;2.32;1.61;80214
3.62;1.94;1.57;80418
4.17;1.61;1.35;80622
3.89;1.61;1.15;80826
3.62;1.61;0.97;81030
3.57;1.53;0.76;81234
3.31;1.64;0.81;81438
3.37;1.61;0.81;81642
3.44;1.77;0.81;81846
3.70;1.86;0.81;82051
3.70;1.77;0.97;82255
3.07;1.94;1.09;82459
2.32;2.03;1.03;82663
1.35;2.28;0.97;82867
2.17;2.28;1.28;83072
2.94;1.99;1.05;83276
3.11;1.66;1.22;83480
2.61;1.66;1.12;83684
2.99;1.66;1.03;83888
3.35;1.82;1.03;84092
3.68;1.86;0.97;84296
3.95;1.86;1.15;84500
4.09;1.77;1.06;84704
4.68;1.69;1.32;84909
4.23;1.69;0.95;85113
3.23;1.21;0.60;85317
3.48;1.02;0.52;85521
3.93;1.08;0.47;85725
4.36;1.08;0.43;85929
4.21;1.11;0.41;86133
3.87;1.20;0.45;86337
3.74;1.08;0.29;86541
3.55;0.84;0.36;86745
3.42;1.07;0.51;86949
4.09;1.01;0.35;87153
4.46;1.01;0.23;87357
4.61;1.13;0.42;87561
4.70;1.54;0.44;87766
4.86;1.59;0.33;87970
5.02;1.51;0.39;88174
6.71;2.39;0.61;88378
6.62;2.25;0.59;88582
7.01;2.15;0.80;88786
6.82;1.71;0.70;88990
6.82;1.88;0.70;89194
7.22;1.48;1.02;89398
7.75;1.55;1.07;89603
7.75;1.59;0.96;89807
7.66;1.44;1.07;90011
7.45;1.30;1.55;90215
7.24;1.47;1.55;90419
7.16;1.26;1.71;90624
7.57;1.96;1.93;90828
6.96;1.92;1.37;91032
7.16;2.01;1.27;91236
6.76;2.44;1.45;91440
7.27;2.44;1.30;91644
6.87;2.15;1.60;91848
6.68;2.21;1.80;92052
6.49;2.30;1.64;92256
6.12;2.89;1.12;92461
5.42;2.78;1.18;92665
5.51;2.96;1.18;92869
5.69;2.96;1.31;93073
5.51;2.69;1.65;93277
4.70;2.80;1.57;93481
4.64;2.75;1.65;93685
4.34;2.39;1.61;93889
3.91;2.10;1.39;94093
3.51;1.92;1.43;94297
3.51;1.88;1.29;94501
3.64;1.64;0.98;94705
3.78;1.68;0.84;94909
3.91;1.76;0.95;95113
3.83;1.81;1.10;95318
3.57;1.49;0.72;95522
3.83;1.35;0.66;95726
3.51;1.57;0.80;95930
3.70;1.73;0.94;96134
3.26;1.73;0.94;96338
3.51;1.78;1.17;96542
3.57;1.78;1.11;96746
4.34;1.78;0.91;96950
4.05;1.74;0.91;97155
4.19;1.83;1.21;97359
4.05;1.91;1.18;97563
3.91;2.00;1.25;97767
4.05;2.00;1.12;97971
5.18;1.83;1.46;98176
4.70;1.83;1.32;98380
6.30;2.69;1.66;98584
6.87;3.15;1.66;98788
6.30;3.58;2.27;98992
6.68;3.25;2.91;99196
6.99;3.50;2.73;99400
6.22;2.96;2.12;99604
5.86;3.45;1.61;99808
5.96;3.65;1.39;100013
5.79;3.40;1.86;100217
6.22;3.52;2.37;100421
5.44;3.40;2.27;100625
6.15;3.40;2.37;100829
6.63;3.65;2.69;101033
6.55;3.87;2.27;101237
7.34;3.73;2.53;101441
7.05;3.62;2.23;101645
6.10;3.00;2.29;101849
6.10;2.78;2.76;102053
6.10;2.67;1.71;102257
5.57;2.73;1.55;102461
5.92;2.96;1.23;102665
6.10;3.19;1.41;102870
5.23;3.19;1.08;103074
4.30;3.19;1.41;103278
4.30;2.84;2.06;103482
3.88;2.69;1.80;103686
3.11;2.38;1.31;103890
2.35;2.38;0.88;104094
1.97;1.74;0.99;104298
1.97;1.16;0.83;104502
1.83;1.22;0.56;104707
1.75;1.10;0.24;104911
1.17;1.03;0.08;105115
1.07;0.87;0.01;105319
1.01;0.82;0.01;105523
0.92;0.47;0.00;105728
1.26;0.40;nan;105931
1.22;0.38;nan;106134
1.09;0.27;nan;106337
0.92;0.20;nan;106541
0.92;0.19;nan;106744
1.12;0.15;nan;106947
1.00;0.18;nan;107150
1.15;0.22;0.00;107354
1.42;0.26;0.00;107558
1.64;0.29;0.00;107762
1.57;0.35;0.01;107966
1.28;0.39;0.03;108170
1.57;0.46;0.09;108375
1.76;0.42;0.08;108579
2.30;0.61;0.25;108783
2.15;0.66;0.28;108987
2.34;0.75;0.17;109191
2.15;0.87;0.09;109395
2.49;0.87;0.10;109599
3.09;0.92;0.14;109803
3.16;0.95;0.16;110007
3.46;1.12;0.09;110211
3.72;1.06;0.16;110415
4.57;1.09;0.24;110619
4.13;1.28;0.24;110823
3.72;1.49;0.23;111027
5.37;1.81;0.33;111232
4.88;1.93;0.44;111436
5.04;1.85;0.41;111640
5.37;2.12;0.42;111844
5.54;1.93;0.25;112048
6.07;2.06;0.57;112252
5.27;1.88;0.55;112456
5.96;2.19;0.44;112660
5.96;2.25;0.44;112864
5.86;2.81;0.67;113069
5.42;3.28;1.04;113273
5.76;3.41;1.10;113477
4.77;3.28;1.29;113681
4.09;3.09;1.36;113885
4.01;2.86;1.58;114089
3.87;2.54;1.66;114293
3.93;2.33;1.22;114497
4.49;2.54;1.06;114701
4.42;2.86;0.95;114905
5.54;3.14;0.84;115109
5.89;3.26;1.00;115313
6.25;3.33;1.25;115517
6.63;3.33;1.19;115721
5.89;2.54;1.03;115926
5.89;2.80;1.19;116130
5.64;2.91;1.32;116334
5.30;2.96;1.61;116538
5.39;2.73;1.73;116742
4.99;2.62;1.99;116946
4.99;2.73;1.73;117150
4.53;2.73;1.81;117354
4.53;2.84;1.90;117558
4.46;2.58;1.86;117763
3.89;2.48;1.86;117967
3.76;2.48;1.61;118171
3.37;2.37;1.69;118375
3.76;2.18;1.46;118579
4.03;2.28;1.36;118784
4.61;2.69;1.74;118988
4.46;2.69;1.82;119192
4.17;2.80;1.91;119396
4.32;2.58;1.91;119600
4.61;2.80;1.91;119804
4.61;2.69;1.91;120008
4.25;2.80;2.00;120212
4.46;2.58;1.86;120416
4.40;2.48;2.28;120621
3.97;2.54;2.18;120825
3.57;2.23;2.09;121029
3.31;2.14;1.87;121233
3.07;1.87;1.96;121437
3.07;1.79;1.79;121641
2.73;1.51;1.59;121845
2.89;1.37;1.44;122049
3.07;1.30;1.23;122253
3.37;1.17;1.30;122457
3.44;1.30;1.23;122661
3.57;1.30;0.98;122865
3.57;1.44;0.63;123069
3.64;1.47;0.37;123273
3.38;1.44;0.47;123478
3.51;1.37;0.44;123682
3.51;1.51;0.59;123886
3.77;1.83;0.68;124090
3.91;2.01;0.59;124294
4.05;2.01;0.59;124498
3.38;2.14;0.82;124702
3.26;2.14;0.98;124906
3.91;2.23;0.98;125110
3.64;1.96;0.95;125315
2.91;2.05;0.90;125519
2.69;1.79;1.07;125723
2.58;1.79;1.04;125927
2.27;1.62;0.92;126131
1.46;1.07;0.69;126336
1.61;0.95;0.60;126540
2.22;0.84;0.49;126744
2.12;0.74;0.49;126948
2.22;0.74;0.44;127152
2.32;0.61;0.25;127356
2.12;0.65;0.19;127560
1.61;0.65;0.15;127764
1.89;0.61;0.12;127968
1.89;0.70;0.15;128173
1.64;0.70;0.13;128377
1.45;0.57;0.13;128581
1.45;0.45;0.14;128785
1.38;0.42;0.20;128989
1.31;0.28;0.19;129193
1.76;0.51;0.24;129397
1.52;0.37;0.18;129601
1.48;0.31;0.11;129805
1.34;0.32;0.07;130009
1.27;0.30;0.04;130213
1.27;0.22;0.02;130417
1.37;0.27;0.04;130621
1.51;0.14;0.04;130825
1.41;0.09;0.03;131030
1.41;0.13;0.02;131234
1.48;0.15;0.02;131438
1.56;0.17;0.02;131642
1.67;0.20;0.01;131846
1.59;0.22;0.00;132050
1.23;0.24;0.00;132254
0.98;0.18;0.00;132458
0.70;0.22;0.00;132662
0.59;0.22;0.02;132867
0.72;0.20;0.03;133071
0.67;0.20;0.03;133275
0.60;0.24;0.03;133479
0.69;0.24;0.03;133683
0.81;0.22;0.03;133888
1.03;0.22;0.03;134092
1.28;0.22;0.03;134296
1.35;0.24;0.03;134500
1.18;0.27;0.03;134704
0.88;0.28;0.02;134908
1.37;0.30;0.02;135112
0.93;0.30;0.04;135316
0.46;0.30;0.04;135520
0.39;0.24;0.03;135725
0.80;0.17;0.06;135929
0.96;0.25;0.08;136133
0.82;0.16;0.06;136337
0.72;0.06;0.02;136541
0.63;0.07;0.00;136745
0.51;0.03;0.01;136949
0.72;0.02;0.00;137153
0.72;0.02;0.00;137357
0.65;0.02;0.01;137561
0.70;0.02;0.03;137765
0.65;0.03;0.04;137969
0.84;0.02;0.05;138173
0.84;0.05;0.06;138377
0.90;0.03;0.04;138582
0.90;0.06;0.04;138786
1.04;0.08;0.05;138990
1.04;0.10;0.07;139194
1.04;0.10;0.07;139398
1.51;0.21;0.14;139602
1.44;0.28;0.14;139806
1.44;0.29;0.15;140010
1.75;0.35;0.11;140214
1.83;0.44;0.11;140419
1.92;0.52;0.14;140623
2.29;0.56;0.14;140827
2.70;0.60;0.16;141031
3.16;0.64;0.18;141235
3.60;0.70;0.18;141440
3.73;0.85;0.26;141644
3.81;1.04;0.21;141848
3.54;1.04;0.31;142052
3.42;1.30;0.29;142256
2.89;1.37;0.35;142460
2.82;1.41;0.48;142664
3.00;1.52;0.45;142868
2.89;1.52;0.69;143072
2.77;1.31;0.76;143277
2.62;1.38;0.81;143481
2.72;1.35;0.84;143685
2.90;1.42;0.84;143889
2.68;1.42;0.69;144093
2.74;1.32;0.87;144297
3.20;1.12;0.87;144501
2.52;1.43;0.77;144705
2.28;1.43;0.72;144909
1.74;1.33;0.74;145113
1.26;1.33;0.70;145317
1.07;1.07;0.77;145521
0.70;0.74;0.68;145725
0.70;0.49;0.72;145929
0.49;0.42;0.57;146134
0.45;0.28;0.46;146338
0.70;0.30;0.39;146542
