S1;S2;S3;Millis
4.99;2.23;1.46;204
4.68;2.27;1.39;408
4.09;2.12;1.25;612
4.68;2.15;1.08;816
4.53;2.06;1.31;1020
4.53;2.06;1.14;1224
3.68;2.19;1.17;1428
2.76;1.51;0.93;1632
3.40;1.59;0.93;1837
2.92;1.67;1.07;2041
3.33;1.62;1.07;2245
3.21;1.55;0.84;2449
3.21;1.58;0.70;2653
3.38;1.74;0.79;2857
4.19;1.74;0.92;3061
4.63;1.69;0.92;3265
4.40;1.53;0.67;3469
4.55;1.69;0.59;3673
4.86;1.99;0.44;3877
4.34;2.13;0.40;4081
4.48;2.13;0.32;4285
4.63;2.03;0.79;4489
5.96;2.56;1.06;4694
6.25;2.50;1.06;4898
6.73;2.78;1.09;5102
6.46;3.01;1.03;5306
6.57;3.31;1.12;5510
6.20;3.39;1.12;5714
6.49;3.21;1.73;5918
6.30;3.33;1.42;6122
6.22;3.41;1.69;6326
5.61;3.48;1.82;6531
5.44;3.35;2.00;6735
5.96;3.06;1.87;6939
5.96;3.43;2.01;7143
5.54;3.50;2.06;7347
5.37;3.50;1.97;7552
5.54;3.32;2.21;7756
5.37;3.20;2.56;7960
5.04;3.20;2.22;8164
5.37;3.08;2.42;8368
5.54;3.15;2.37;8572
5.79;3.15;2.47;8776
6.33;3.15;2.27;8980
7.84;3.03;2.27;9184
7.54;3.65;2.33;9389
8.41;4.20;2.37;9593
8.18;4.59;2.75;9797
8.09;4.59;3.33;10001
8.00;4.83;3.46;10205
8.44;5.32;3.66;10409
8.22;4.92;3.60;10613
6.39;4.92;4.01;10817
5.84;3.75;3.42;11021
6.13;3.97;2.72;11225
5.43;3.83;2.16;11429
5.09;3.97;2.26;11633
6.69;3.78;2.16;11837
6.89;3.52;2.16;12041
4.32;2.48;1.46;12246
4.04;2.38;0.97;12450
3.84;2.58;0.86;12654
3.01;2.69;1.15;12858
2.79;2.09;1.72;13062
2.57;1.82;1.15;13266
2.57;1.74;0.79;13470
2.21;1.74;0.71;13674
2.21;1.36;0.69;13878
2.83;1.22;0.54;14083
3.06;1.47;0.62;14287
3.25;1.66;0.60;14491
3.55;1.50;0.36;14695
3.30;1.58;0.33;14899
2.90;1.74;0.31;15104
3.55;2.44;0.50;15308
4.24;2.34;0.66;15512
3.82;2.14;0.88;15716
3.82;1.79;0.86;15920
3.43;1.82;0.71;16124
3.55;1.71;0.76;16328
3.82;2.05;0.81;16532
3.96;2.05;0.86;16736
4.01;2.24;0.81;16941
3.88;2.05;0.97;17145
4.07;1.96;0.81;17349
3.80;1.71;0.64;17553
4.13;1.82;0.97;17757
4.64;1.91;0.97;17961
4.49;2.03;1.02;18165
4.64;2.13;1.02;18369
4.64;2.46;0.91;18573
5.61;2.56;0.88;18777
6.52;2.67;1.24;18981
6.44;2.78;1.48;19185
6.25;3.12;1.41;19389
6.82;3.37;1.63;19593
6.07;3.49;1.80;19798
5.89;3.49;2.15;20002
5.89;3.37;2.44;20206
5.71;3.12;2.15;20410
5.04;3.00;2.02;20614
4.57;3.00;1.88;20818
4.88;2.84;1.76;21022
4.95;2.84;1.88;21226
4.34;2.56;1.84;21430
4.19;2.56;1.93;21635
4.40;2.36;2.02;21839
4.32;2.07;1.60;22043
5.25;2.36;1.24;22247
4.46;1.84;0.93;22451
4.55;1.30;1.17;22656
4.61;1.55;1.11;22860
4.46;1.40;0.88;23064
4.03;1.13;0.41;23268
4.32;0.90;0.25;23472
3.12;0.96;0.36;23676
3.12;1.01;0.39;23880
3.24;1.13;0.44;24084
3.12;1.26;0.29;24288
2.94;1.26;0.45;24493
2.72;1.36;0.53;24697
3.42;1.29;0.65;24901
3.68;1.23;0.53;25105
4.03;1.32;0.67;25309
5.09;2.04;0.87;25513
5.09;2.32;1.03;25717
5.25;2.13;1.22;25921
5.42;2.42;1.18;26125
5.09;2.53;1.12;26329
4.92;2.48;1.32;26533
5.42;2.59;1.32;26737
5.76;2.59;1.32;26941
5.25;2.48;1.39;27145
5.25;2.00;1.25;27350
4.46;1.74;1.18;27554
3.62;1.86;1.39;27758
4.68;1.62;1.18;27962
4.68;1.78;1.18;28166
4.68;2.27;1.12;28370
5.15;2.47;0.89;28574
4.83;2.57;1.69;28778
5.94;2.47;1.57;28982
6.12;2.68;1.46;29187
6.22;2.90;1.61;29391
6.04;3.01;1.94;29595
6.60;3.01;1.99;29799
6.60;3.20;2.37;30003
